SEASON_RANK,NAME,TEAM,QBR,PAA,PLAYS,EPA,PASS,RUN,SACK,PEN,RAW,YEAR,SEASON_TYPE
1,P. Manning,IND,86.4,85.5,624,108.8,96.0,6.8,-5.0,1.1,87.4,2006,REGULAR
2,T. Brady,NE,68.6,30.9,610,57.9,38.8,4.3,-12.0,2.8,67.2,2006,REGULAR
3,P. Rivers,SD,67.4,28.2,542,53.0,43.1,-0.9,-10.4,0.3,67.6,2006,REGULAR
4,C. Palmer,CIN,67.1,29.9,623,58.3,43.2,-0.3,-12.9,2.5,66.4,2006,REGULAR
5,D. Brees,NO,66.7,36.7,631,64.2,61.0,-5.2,-7.7,0.6,69.5,2006,REGULAR
6,S. McNair,BAL,66.0,27.2,548,51.8,38.2,8.2,-6.0,-0.6,66.9,2006,REGULAR
7,C. Pennington,NYJ,64.2,20.8,587,47.1,27.9,3.0,-10.9,5.2,62.3,2006,REGULAR
8,T. Romo,DAL,63.5,22.0,414,40.9,34.0,-2.9,-9.2,0.5,67.9,2006,REGULAR
9,D. McNabb,PHI,62.1,17.2,380,34.9,17.1,9.1,-9.2,-0.4,65.5,2006,REGULAR
10,M. Leinart,ARI,60.5,8.7,447,27.0,17.0,-0.3,-7.9,2.4,56.8,2006,REGULAR
11,M. Bulger,STL,59.4,14.8,717,49.3,22.7,0.8,-22.7,3.0,57.3,2006,REGULAR
12,B. Roethlisberger,PIT,58.0,8.8,565,35.4,14.9,0.3,-18.5,1.7,55.5,2006,REGULAR
13,M. Vick,ATL,58.0,20.7,575,48.2,-6.5,32.3,-20.1,2.3,62.5,2006,REGULAR
14,M. Hasselbeck,SEA,56.9,5.3,454,28.4,8.1,5.4,-13.8,1.1,54.1,2006,REGULAR
15,V. Young,TEN,56.1,13.4,485,34.8,-3.2,27.2,-7.9,2.9,59.6,2006,REGULAR
16,J. Harrington,MIA,51.0,-4.6,443,19.5,12.1,-1.8,-7.3,1.9,46.4,2006,REGULAR
17,J.P. Losman,BUF,49.5,-5.0,551,24.0,-1.4,0.2,-22.9,2.3,46.8,2006,REGULAR
18,J. Plummer,DEN,49.2,-3.2,375,17.6,7.8,0.7,-8.0,1.1,47.0,2006,REGULAR
19,R. Grossman,CHI,48.9,-3.2,568,25.4,6.7,1.8,-10.6,6.2,48.0,2006,REGULAR
20,E. Manning,NYG,48.6,4.0,606,33.6,22.8,-1.9,-10.6,2.1,52.3,2006,REGULAR
21,D. Carr,HOU,45.8,-5.6,556,23.1,2.7,3.7,-16.2,0.5,46.4,2006,REGULAR
22,B. Favre,GB,45.5,-12.2,687,23.4,19.1,-4.0,-7.4,1.0,43.8,2006,REGULAR
23,J. Kitna,DET,45.3,-17.7,744,23.1,-2.5,-0.6,-25.6,0.6,41.7,2006,REGULAR
24,A. Smith,SF,44.4,-13.5,551,14.9,4.0,0.0,-12.2,-1.2,41.4,2006,REGULAR
25,J. Delhomme,CAR,43.0,-4.5,484,22.3,10.8,0.7,-9.7,1.1,46.7,2006,REGULAR
26,C. Frye,CLE,42.1,-13.8,509,13.9,-12.1,4.7,-19.7,1.7,40.5,2006,REGULAR
27,B. Johnson,MIN,39.7,-17.2,530,12.8,-2.9,1.4,-13.0,1.3,38.7,2006,REGULAR
28,B. Gradkowski,TB,32.0,-17.8,414,5.7,-1.9,-2.0,-9.3,0.4,35.2,2006,REGULAR
29,A. Walter,OAK,23.0,-32.8,372,-8.9,-21.9,-4.0,-18.4,-1.4,22.3,2006,REGULAR
1,T. Brady,NE,83.0,12.8,135,19.9,16.9,0.4,-2.2,0.3,79.2,2006,POST
2,P. Manning,IND,71.9,9.4,174,18.6,15.9,-0.6,-2.1,1.2,68.2,2006,POST
3,D. Brees,NO,68.7,3.1,92,7.5,6.2,-0.5,-2.7,-0.9,61.7,2006,POST
4,E. Manning,NYG,63.8,1.3,38,3.4,1.9,0.3,-0.6,0.5,61.7,2006,POST
5,J. Garcia,PHI,59.8,2.8,76,7.2,6.8,-1.1,-1.6,-0.2,62.6,2006,POST
6,M. Hasselbeck,SEA,55.5,0.8,79,5.4,2.8,0.0,-1.1,1.5,53.5,2006,POST
7,C. Pennington,NYJ,52.5,-0.6,47,1.8,3.0,-2.1,-0.6,0.2,45.5,2006,POST
8,T. Romo,DAL,40.0,-1.8,34,0.2,-0.9,0.0,-1.1,0.1,32.1,2006,POST
9,R. Grossman,CHI,30.5,-5.5,102,0.5,-1.0,-1.0,-2.4,0.1,31.9,2006,POST
10,S. McNair,BAL,22.2,-2.4,35,-0.3,-0.7,0.3,-0.2,-0.1,27.5,2006,POST
11,P. Rivers,SD,19.3,-3.5,35,-1.5,-4.0,0.3,-2.3,0.0,19.3,2006,POST
12,T. Green,KC,11.5,-4.5,31,-1.7,-1.8,-1.0,-1.1,-0.1,11.6,2006,POST
1,T. Brady,NE,87.0,96.2,667,109.2,91.7,7.8,-8.1,1.6,88.5,2007,REGULAR
2,D. Garrard,JAX,80.9,46.9,411,65.5,45.4,10.6,-8.6,0.9,83.4,2007,REGULAR
3,P. Manning,IND,76.9,48.4,580,74.0,64.2,-0.7,-7.6,2.9,76.5,2007,REGULAR
4,T. Romo,DAL,76.9,56.1,611,87.7,70.9,5.6,-11.3,-0.1,78.6,2007,REGULAR
5,B. Favre,GB,70.8,37.2,600,66.1,58.9,-3.0,-6.6,3.5,70.6,2007,REGULAR
6,B. Roethlisberger,PIT,70.5,38.7,496,61.4,30.9,9.1,-21.2,0.2,75.1,2007,REGULAR
7,K. Warner,ARI,67.9,41.3,512,64.8,57.3,-2.5,-8.4,1.6,75.8,2007,REGULAR
8,D. Brees,NO,64.6,39.7,718,66.0,56.7,0.7,-6.4,2.1,68.6,2007,REGULAR
9,J. Cutler,DEN,64.3,22.1,551,47.0,34.2,-0.2,-11.1,1.8,63.8,2007,REGULAR
10,D. Anderson,CLE,62.6,29.7,596,58.3,49.8,3.1,-6.0,-0.7,66.9,2007,REGULAR
11,M. Schaub,HOU,62.6,16.7,328,32.5,25.3,-0.2,-6.8,0.6,67.2,2007,REGULAR
12,C. Palmer,CIN,62.5,26.4,647,56.9,47.6,-1.6,-9.2,1.7,64.0,2007,REGULAR
13,J. Campbell,WSH,59.8,17.9,494,44.2,30.8,4.3,-9.4,-0.3,62.6,2007,REGULAR
14,J. Garcia,TB,59.4,14.7,388,32.6,23.8,0.7,-8.4,-0.2,63.1,2007,REGULAR
15,P. Rivers,SD,54.5,4.3,540,31.0,24.1,-4.0,-9.6,1.3,52.8,2007,REGULAR
16,M. Hasselbeck,SEA,54.4,18.9,653,51.7,40.3,-3.5,-14.1,0.8,60.1,2007,REGULAR
17,D. McNabb,PHI,54.0,10.5,580,41.6,16.6,5.1,-18.3,1.7,56.3,2007,REGULAR
18,E. Manning,NYG,52.0,8.1,620,40.9,21.5,3.9,-11.5,4.0,54.6,2007,REGULAR
19,T. Jackson,MIN,50.6,2.2,375,20.6,8.0,5.7,-7.2,-0.2,52.0,2007,REGULAR
20,J. Kitna,DET,49.0,-3.4,683,29.2,11.3,-3.5,-17.8,3.6,48.3,2007,REGULAR
21,K. Boller,BAL,47.4,3.5,331,19.1,5.4,2.8,-10.8,0.2,53.8,2007,REGULAR
22,V. Young,TEN,46.9,1.2,503,29.1,12.5,3.9,-11.2,1.6,50.8,2007,REGULAR
23,C. Lemon,MIA,45.5,2.4,376,18.3,5.0,4.8,-8.0,0.5,52.3,2007,REGULAR
24,C. Pennington,NYJ,45.4,-0.8,322,17.4,8.4,-3.5,-10.4,2.1,49.1,2007,REGULAR
25,J. Harrington,ATL,43.3,-3.4,414,18.7,7.4,-2.8,-13.0,1.1,47.1,2007,REGULAR
26,M. Bulger,STL,42.4,-5.3,457,19.3,3.9,-0.4,-14.4,1.4,45.9,2007,REGULAR
27,D. Huard,KC,38.5,-12.3,405,11.5,-0.5,-3.0,-14.3,0.7,39.4,2007,REGULAR
1,P. Manning,IND,90.3,7.3,52,10.3,9.9,-0.6,0.0,1.0,87.8,2007,POST
2,D. Garrard,JAX,88.1,9.3,70,12.0,4.4,5.3,-2.6,-0.2,86.8,2007,POST
3,E. Manning,NYG,78.9,13.2,142,21.6,17.1,-1.0,-4.3,1.2,78.8,2007,POST
4,T. Romo,DAL,78.7,4.2,44,6.8,4.3,1.5,-1.1,-0.1,79.2,2007,POST
5,T. Brady,NE,72.6,7.6,122,14.5,11.4,-0.2,-2.8,0.5,70.7,2007,POST
6,P. Rivers,SD,71.9,6.5,97,12.4,12.0,-0.1,-1.3,-0.7,72.2,2007,POST
7,B. Favre,GB,66.0,2.9,60,6.3,6.2,0.0,-0.2,-0.1,66.2,2007,POST
8,T. Collins,WSH,59.1,0.3,58,3.1,1.4,-0.3,-1.3,0.7,51.7,2007,POST
9,V. Young,TEN,49.3,-1.2,36,0.9,-0.6,1.0,-0.8,-0.3,38.0,2007,POST
10,J. Garcia,TB,46.8,-0.3,43,1.8,1.5,0.1,-0.4,-0.2,47.5,2007,POST
11,M. Hasselbeck,SEA,45.8,-0.5,73,3.3,2.6,-0.8,-1.1,0.3,47.6,2007,POST
12,B. Roethlisberger,PIT,32.2,-2.8,56,0.6,1.0,-1.4,-1.9,-1.0,33.2,2007,POST
1,P. Manning,IND,76.5,56.5,623,86.4,81.4,-2.5,-6.2,1.3,78.3,2008,REGULAR
2,J. Garcia,TB,69.3,28.3,439,52.2,33.4,10.5,-8.5,-0.2,71.3,2008,REGULAR
3,M. Ryan,ATL,68.8,28.9,526,56.6,49.9,-3.6,-5.6,4.8,68.5,2008,REGULAR
4,K. Warner,ARI,68.5,39.8,670,67.1,59.6,-2.8,-10.4,-0.1,69.8,2008,REGULAR
5,M. Schaub,HOU,67.3,19.6,453,44.0,28.9,5.2,-7.9,1.9,64.8,2008,REGULAR
6,E. Manning,NYG,66.9,21.8,568,53.2,36.7,0.9,-11.5,4.0,63.2,2008,REGULAR
7,C. Pennington,MIA,65.7,32.3,549,63.8,50.3,3.0,-9.7,0.9,69.7,2008,REGULAR
8,D. Brees,NO,65.7,32.6,701,68.8,64.4,-2.5,-6.5,0.5,65.9,2008,REGULAR
9,M. Cassel,NE,63.4,28.6,637,59.0,27.9,12.2,-18.0,0.9,65.3,2008,REGULAR
10,P. Rivers,SD,63.2,22.5,569,54.2,35.0,5.5,-11.3,2.4,63.6,2008,REGULAR
11,A. Rodgers,GB,62.9,27.4,654,63.1,39.6,10.1,-14.6,-1.2,64.4,2008,REGULAR
12,S. Hill,SF,62.1,11.7,354,30.1,15.3,4.4,-8.5,1.8,61.5,2008,REGULAR
13,J. Cutler,DEN,61.9,31.9,696,68.6,65.4,-1.9,-3.6,1.5,65.7,2008,REGULAR
14,T. Romo,DAL,60.8,9.3,522,36.8,36.2,-5.9,-7.9,-1.4,56.3,2008,REGULAR
15,D. Garrard,JAX,58.7,16.6,681,53.8,19.5,16.1,-16.9,1.4,58.5,2008,REGULAR
16,J. Campbell,WSH,58.5,10.2,614,45.8,13.6,14.4,-16.6,1.2,55.8,2008,REGULAR
17,K. Collins,TEN,57.4,11.2,461,38.3,31.2,2.0,-3.3,1.9,58.5,2008,REGULAR
18,J. Delhomme,CAR,55.5,8.7,490,35.6,27.2,-0.2,-8.3,0.2,56.2,2008,REGULAR
19,D. McNabb,PHI,54.9,5.4,654,44.6,36.0,-3.0,-11.2,0.5,52.9,2008,REGULAR
20,R. Fitzpatrick,CIN,52.5,0.6,489,28.3,4.4,6.8,-14.4,2.8,50.4,2008,REGULAR
21,T. Thigpen,KC,50.7,4.0,527,32.4,13.8,8.3,-10.3,0.0,52.7,2008,REGULAR
22,K. Orton,CHI,48.2,-2.3,544,30.5,17.4,-1.2,-13.2,1.1,48.5,2008,REGULAR
23,J. Flacco,BAL,47.1,-11.5,555,22.3,5.0,-1.6,-15.9,3.0,42.7,2008,REGULAR
24,B. Roethlisberger,PIT,47.1,-7.1,578,30.2,9.5,-2.6,-21.9,1.3,45.7,2008,REGULAR
25,D. Anderson,CLE,44.4,-9.8,346,12.3,13.2,-6.4,-5.4,0.0,40.1,2008,REGULAR
26,B. Favre,NYJ,43.4,-6.9,618,29.4,21.6,-6.4,-12.7,1.5,46.0,2008,REGULAR
27,T. Edwards,BUF,43.1,-2.1,458,25.9,7.8,5.6,-10.5,2.0,48.4,2008,REGULAR
28,G. Frerotte,MIN,36.1,-13.7,367,10.1,-5.9,0.6,-12.5,3.0,37.1,2008,REGULAR
28,M. Bulger,STL,36.1,-20.2,535,11.9,-4.0,0.2,-14.6,1.2,37.0,2008,REGULAR
30,J. Russell,OAK,29.2,-23.4,453,5.4,-10.9,2.8,-12.1,1.3,32.5,2008,REGULAR
1,K. Warner,ARI,81.2,12.3,153,19.3,19.1,-0.9,-1.5,-0.4,75.8,2008,POST
2,K. Collins,TEN,65.2,0.5,45,3.5,3.4,0.0,-0.4,-0.3,53.7,2008,POST
3,D. McNabb,PHI,64.8,3.4,138,11.5,8.7,2.0,-2.4,-1.5,58.5,2008,POST
4,M. Ryan,ATL,59.7,0.7,52,4.0,4.9,-2.4,-1.6,-0.1,55.0,2008,POST
5,P. Manning,IND,55.7,2.3,48,5.5,4.2,0.0,-0.7,0.7,66.6,2008,POST
6,B. Roethlisberger,PIT,53.2,0.8,111,7.8,3.6,-0.6,-4.6,0.1,52.7,2008,POST
7,T. Jackson,MIN,45.5,-2.3,43,0.5,-1.6,0.6,-0.8,0.6,31.8,2008,POST
8,J. Flacco,BAL,40.6,-6.6,96,-0.1,-1.6,-1.1,-1.5,1.1,27.5,2008,POST
9,P. Rivers,SD,35.0,-4.8,85,0.8,-3.6,0.7,-3.5,0.2,31.0,2008,POST
10,E. Manning,NYG,34.6,-2.7,31,-0.5,0.1,-0.8,0.0,0.2,22.8,2008,POST
11,C. Pennington,MIA,29.1,-4.6,46,-1.2,-0.6,-2.1,-1.0,0.5,19.5,2008,POST
12,J. Delhomme,CAR,1.4,-12.5,42,-4.8,-6.4,0.0,-0.6,1.0,1.5,2008,POST
1,D. Brees,NO,82.0,66.3,582,103.5,88.4,4.7,-7.6,2.8,83.4,2009,REGULAR
2,P. Manning,IND,80.7,65.3,629,107.3,100.4,-1.4,-4.9,3.3,81.3,2009,REGULAR
3,P. Rivers,SD,77.2,49.1,578,89.2,72.8,1.1,-10.7,4.6,76.9,2009,REGULAR
4,B. Favre,MIN,74.4,49.1,614,89.2,72.7,-0.2,-15.8,0.9,75.6,2009,REGULAR
5,T. Brady,NE,74.1,45.8,645,88.8,77.9,1.2,-7.7,2.1,73.2,2009,REGULAR
6,M. Schaub,HOU,72.9,48.5,663,94.8,86.6,-1.5,-9.3,0.4,73.8,2009,REGULAR
7,E. Manning,NYG,71.7,34.8,587,67.1,55.5,-0.8,-10.6,1.8,69.8,2009,REGULAR
8,V. Young,TEN,69.6,18.9,323,43.4,30.5,9.6,-3.4,-0.2,69.5,2009,REGULAR
9,A. Rodgers,GB,69.1,42.6,685,87.6,44.1,18.9,-21.8,2.8,70.7,2009,REGULAR
10,B. Roethlisberger,PIT,69.0,34.7,613,84.1,52.6,4.3,-25.0,2.2,69.0,2009,REGULAR
11,M. Ryan,ATL,67.7,22.7,523,60.2,49.2,0.3,-7.5,3.2,64.9,2009,REGULAR
12,K. Warner,ARI,66.2,31.0,579,66.0,57.8,-2.7,-8.8,2.1,68.1,2009,REGULAR
13,T. Romo,DAL,65.5,27.3,647,73.1,57.4,1.4,-13.8,0.5,64.5,2009,REGULAR
14,C. Palmer,CIN,58.6,15.7,575,61.9,43.2,4.4,-14.4,-0.1,59.5,2009,REGULAR
15,J. Flacco,BAL,58.5,16.8,599,62.2,45.7,-1.6,-13.6,4.5,59.8,2009,REGULAR
16,D. McNabb,PHI,58.2,10.8,538,50.2,26.3,6.3,-15.1,2.5,57.0,2009,REGULAR
17,K. Orton,DEN,56.9,13.8,628,60.2,46.5,0.5,-10.2,3.0,57.7,2009,REGULAR
18,J. Campbell,WSH,55.2,8.3,622,54.5,23.5,10.0,-19.1,1.8,54.7,2009,REGULAR
19,D. Garrard,JAX,54.4,10.1,649,56.2,31.6,8.5,-14.6,1.5,55.5,2009,REGULAR
20,C. Henne,MIA,53.1,4.1,516,42.9,32.2,-0.4,-10.7,0.5,52.8,2009,REGULAR
21,J. Cutler,CHI,49.9,0.5,661,50.8,31.0,6.6,-12.6,0.6,50.3,2009,REGULAR
22,A. Smith,SF,41.8,-7.1,445,28.9,17.5,0.5,-9.7,1.2,44.4,2009,REGULAR
23,J. Delhomme,CAR,37.3,-14.2,374,16.3,3.7,2.0,-11.2,-0.6,36.9,2009,REGULAR
24,M. Stafford,DET,37.1,-16.6,441,18.9,2.4,3.6,-11.3,1.7,37.0,2009,REGULAR
25,J. Freeman,TB,37.0,-13.2,356,15.4,4.1,5.6,-6.6,-0.9,37.2,2009,REGULAR
26,M. Hasselbeck,SEA,34.0,-25.0,573,20.3,4.2,1.0,-13.6,1.5,35.0,2009,REGULAR
27,M. Sanchez,NYJ,32.8,-20.0,452,18.5,0.5,5.7,-11.8,0.6,34.8,2009,REGULAR
28,M. Cassel,KC,29.7,-39.4,626,14.4,6.7,-11.6,-16.1,3.2,29.1,2009,REGULAR
1,P. Manning,IND,90.4,21.5,140,30.2,29.0,-0.7,-1.7,0.2,89.8,2009,POST
2,K. Warner,ARI,88.4,8.4,64,10.5,9.8,0.0,-0.6,0.1,86.4,2009,POST
